| Category                    | Sub-Category                       | Link                                                                   |
| --------------------------- | ---------------------------------- | ---------------------------------------------------------------------- |
| Bakery & Biscuits           | Cookies                            | <https://blinkit.com/cn/cookies/cid/888/28>                            |
| Bakery & Biscuits           | Cream Biscuits                     | <https://blinkit.com/cn/cream-biscuits/cid/888/105>                    |
| Bakery & Biscuits           | Rusks & Wafers                     | <https://blinkit.com/cn/rusks-wafers/cid/888/107>                      |
| Bakery & Biscuits           | Sweet & Salty                      | <https://blinkit.com/cn/sweet-salty/cid/888/144>                       |
| Bakery & Biscuits           | Glucose & Marie                    | <https://blinkit.com/cn/glucose-marie/cid/888/209>                     |
| Bakery & Biscuits           | Healthy & Digestive                | <https://blinkit.com/cn/healthy-digestive/cid/888/938>                 |
| Bakery & Biscuits           | Baking Ingredients & Mixes         | <https://blinkit.com/cn/baking-ingredients-mixes/cid/888/971>          |
| Bakery & Biscuits           | Gourmet Bakery                     | <https://blinkit.com/cn/gourmet-bakery/cid/888/1663>                   |
| Bakery & Biscuits           | Specialty Breads                   | <https://blinkit.com/cn/specialty-breads/cid/888/1097>                 |
| Bakery & Biscuits           | Milk & White Breads                | <https://blinkit.com/cn/milk-white-breads/cid/888/31>                  |
| Bakery & Biscuits           | Fresh Muffins & Cake               | <https://blinkit.com/cn/fresh-muffins-cake/cid/888/176>                |
| Bakery & Biscuits           | Fresh Bakery                       | <https://blinkit.com/cn/fresh-bakery/cid/888/477>                      |
| Bakery & Biscuits           | Buns, Pavs & Pizza Base            | <https://blinkit.com/cn/buns-pavs-pizza-base/cid/888/1956>             |
| Bakery & Biscuits           | Brown & Multigrain Breads          | <https://blinkit.com/cn/brown-multigrain-breads/cid/888/198>           |
| Munchies                    | Namkeen Snacks                     | <https://blinkit.com/cn/namkeen-snacks/cid/1237/29>                    |
| Munchies                    | Papad & Fryums                     | <https://blinkit.com/cn/papad-fryums/cid/1237/80>                      |
| Munchies                    | Popcorn                            | <https://blinkit.com/cn/popcorn/cid/1237/156>                          |
| Munchies                    | Nachos                             | <https://blinkit.com/cn/nachos/cid/1237/316>                           |
| Munchies                    | Healthy Snacks                     | <https://blinkit.com/cn/healthy-snacks/cid/1237/816>                   |
| Munchies                    | Chips & Crisps                     | <https://blinkit.com/cn/chips-crisps/cid/1237/940>                     |
| Munchies                    | Bhujia & Mixtures                  | <https://blinkit.com/cn/bhujia-mixtures/cid/1237/1178>                 |
| Cold Drinks & Juices        | Energy Drinks                      | <https://blinkit.com/cn/energy-drinks/cid/332/19>                      |
| Cold Drinks & Juices        | Coldpress                          | <https://blinkit.com/cn/coldpress/cid/332/91>                          |
